County_2,Date,Year,Year_sin,Year_cos,Wholesale_lag_7,Retail_lag_7,Wholesale_rolling_mean_7d,Wholesale_rolling_std_7d,Retail_rolling_mean_7d,Retail_rolling_std_7d,Retail,Wholesale
0,2022-05-04,2022,0.8660254037844387,-0.4999999999999998,37.78,40.0,43.809999999999995,6.311980671706778,42.91428571428571,20.650700437792143,55.0,50.0
0,2022-05-11,2022,0.8660254037844387,-0.4999999999999998,36.67,40.0,45.714285714285715,5.787903642203152,45.05714285714286,21.07184987472284,55.0,50.0
0,2022-05-18,2022,0.8660254037844387,-0.4999999999999998,37.78,40.0,47.30142857142857,4.6636553209238025,47.199999999999996,21.233935103979196,55.0,48.89
0,2022-05-25,2022,0.8660254037844387,-0.4999999999999998,37.78,0.4,48.88857142857143,2.0302251810363856,55.0,5.0,55.0,48.89
0,2022-06-01,2022,0.8660254037844387,-0.4999999999999998,44.44,45.0,50.15857142857143,1.4931558142786754,57.857142857142854,3.9339789623472226,65.0,53.33
0,2022-06-08,2022,0.8660254037844387,-0.4999999999999998,50.0,60.0,50.95285714285715,2.520289099063254,57.857142857142854,3.9339789623472226,60.0,55.56
0,2022-06-15,2022,0.8660254037844387,-0.4999999999999998,50.0,60.0,52.69857142857143,4.878850372001672,58.57142857142857,4.755948656056717,65.0,62.22
0,2022-06-22,2022,0.8660254037844387,-0.4999999999999998,50.0,55.0,55.08,6.964663188793354,60.714285714285715,6.074928962939568,70.0,66.67
0,2022-07-06,2022,0.8660254037844387,-0.4999999999999998,50.0,55.0,57.46142857142858,7.7444871329469445,62.857142857142854,6.3620901028035295,70.0,66.67
0,2022-07-20,2022,0.8660254037844387,-0.4999999999999998,48.89,55.0,60.79428571428572,8.430628401139206,65.0,5.773502691896275,70.0,72.22
0,2022-08-03,2022,0.8660254037844387,-0.4999999999999998,48.89,55.0,62.54,6.627065715684411,67.14285714285714,3.9339789623472474,70.0,61.11
0,2022-08-10,2022,0.8660254037844387,-0.4999999999999998,53.33,65.0,63.651428571428575,5.355400478555643,67.85714285714286,3.9339789623472474,70.0,61.11
0,2022-08-17,2022,0.8660254037844387,-0.4999999999999998,55.56,60.0,64.44428571428571,4.2557641583419885,68.57142857142857,2.4397501823713816,65.0,61.11
0,2022-08-31,2022,0.8660254037844387,-0.4999999999999998,62.22,65.0,64.44428571428571,4.2557641583419885,68.57142857142857,2.4397501823713816,65.0,62.22
0,2022-09-07,2022,0.8660254037844387,-0.4999999999999998,66.67,70.0,63.80857142857143,4.199878683055102,67.85714285714286,2.6726124191242864,65.0,62.22
0,2022-09-28,2022,0.8660254037844387,-0.4999999999999998,66.67,70.0,63.57,4.055185980116453,67.14285714285714,2.6726124191242824,65.0,65.0
0,2022-10-12,2022,0.8660254037844387,-0.4999999999999998,72.22,70.0,62.61857142857143,1.8915727897829655,67.14285714285714,2.6726124191242824,70.0,65.56
0,2022-10-19,2022,0.8660254037844387,-0.4999999999999998,61.11,70.0,63.174285714285716,1.9451637218397855,66.42857142857143,2.4397501823713683,65.0,65.0
0,2022-11-02,2022,0.8660254037844387,-0.4999999999999998,61.11,70.0,63.730000000000004,1.807954645448747,65.71428571428571,1.8898223650461694,65.0,65.0
0,2022-11-09,2022,0.8660254037844387,-0.4999999999999998,61.11,65.0,64.36571428571429,1.487042446635251,65.71428571428571,1.8898223650461694,65.0,65.56
0,2022-11-30,2022,0.8660254037844387,-0.4999999999999998,62.22,65.0,64.68285714285715,1.152182194587093,65.71428571428571,1.8898223650461694,65.0,64.44
0,2022-12-07,2022,0.8660254037844387,-0.4999999999999998,62.22,65.0,65.0,0.45723808531921856,65.71428571428571,1.8898223650461694,65.0,64.44
0,2022-12-14,2022,0.8660254037844387,-0.4999999999999998,65.0,65.0,64.92,0.5038518300714859,66.42857142857143,2.4397501823713723,70.0,64.44
0,2022-12-21,2022,0.8660254037844387,-0.4999999999999998,65.56,70.0,64.84,0.4233202097700019,65.71428571428571,1.8898223650461692,65.0,65.0
0,2023-01-04,2023,-0.8660254037844385,-0.5000000000000004,65.0,65.0,64.76,0.44060564378256933,65.71428571428571,1.8898223650461692,65.0,64.44
0,2023-01-11,2023,-0.8660254037844385,-0.5000000000000004,65.0,65.0,64.2042857142857,1.4299167474932328,65.71428571428571,1.8898223650461692,65.0,61.11
0,2023-01-18,2023,-0.8660254037844385,-0.5000000000000004,65.56,65.0,63.72714285714285,1.4590946312206303,65.71428571428571,1.8898223650461692,65.0,62.22
0,2023-01-25,2023,-0.8660254037844385,-0.5000000000000004,64.44,65.0,62.458571428571425,3.359138920276149,65.71428571428571,1.8898223650461692,65.0,55.56
0,2023-02-01,2023,-0.8660254037844385,-0.5000000000000004,64.44,65.0,62.14142857142857,3.243703791303086,65.71428571428571,1.8898223650461692,65.0,62.22
0,2023-02-08,2023,-0.8660254037844385,-0.5000000000000004,64.44,70.0,61.66571428571428,3.0910076951422023,64.28571428571429,1.8898223650461374,60.0,61.11
0,2023-02-15,2023,-0.8660254037844385,-0.5000000000000004,65.0,65.0,61.58571428571428,2.9961189181052723,65.0,2.886751345948138,70.0,64.44
0,2023-02-22,2023,-0.8660254037844385,-0.5000000000000004,64.44,65.0,61.58571428571428,2.9961189181052723,65.71428571428571,3.4503277967117847,70.0,64.44
0,2023-03-01,2023,-0.8660254037844385,-0.5000000000000004,61.11,65.0,62.06142857142857,3.1674618049337244,66.42857142857143,3.7796447300922877,70.0,64.44
0,2023-03-08,2023,-0.8660254037844385,-0.5000000000000004,62.22,65.0,62.378571428571426,3.2945734603608394,67.14285714285714,3.933978962347232,70.0,64.44
0,2023-03-29,2023,-0.8660254037844385,-0.5000000000000004,55.56,65.0,63.965714285714284,1.7988686921029682,67.85714285714286,3.933978962347232,70.0,66.67
0,2023-04-19,2023,-0.8660254037844385,-0.5000000000000004,62.22,65.0,64.28285714285714,1.6273159320970227,67.85714285714286,3.933978962347232,65.0,64.44
0,2023-05-03,2023,-0.8660254037844385,-0.5000000000000004,61.11,60.0,64.91857142857143,0.8778843616220615,69.28571428571429,1.8898223650461663,70.0,65.56
0,2023-05-10,2023,-0.8660254037844385,-0.5000000000000004,64.44,70.0,65.23714285714286,1.060828517177374,69.28571428571429,1.8898223650461663,70.0,66.67
